t,"bin0_[0.000,5.000)","bin1_[5.000,10.000)","bin2_[10.000,15.000)"
1,0.044056043,0.07142619,0.07364252
2,0.07233564,0.14039414,0.14424348
3,0.09185674,0.19782677,0.20029001
4,0.10873631,0.23795637,0.24367575
5,0.12296777,0.27263537,0.2787249
6,0.13865036,0.2982033,0.3079731
7,0.15261339,0.32222605,0.33295143
8,0.16810894,0.3466698,0.36101532
9,0.18362953,0.36888087,0.38504982
10,0.19691007,0.3885501,0.4035948
