t,"bin0_[0.000,5.000)","bin1_[5.000,10.000)","bin2_[10.000,15.000)"
1,0.047814112,0.07182077,0.07418406
2,0.08263476,0.14078906,0.14370659
3,0.10897221,0.19684796,0.1993807
4,0.1353168,0.23741394,0.24206755
5,0.15738681,0.2709109,0.27904728
6,0.17913027,0.29862985,0.31041145
7,0.20043269,0.3222895,0.3354443
8,0.22197054,0.3446784,0.36662275
9,0.24334602,0.36516234,0.3956846
10,0.2646544,0.38737988,0.42205244
