t,"bin0_[0.000,5.000)","bin1_[5.000,10.000)","bin2_[10.000,15.000)"
1,0.097486205,0.096512996,0.09311799
2,0.1644994,0.16543223,0.16186729
3,0.22460844,0.23230618,0.22503605
4,0.28011605,0.29469842,0.28837204
5,0.33346325,0.36095586,0.34956
6,0.38505834,0.4333647,0.41000122
7,0.43762088,0.49845162,0.46843255
8,0.4910962,0.5629342,0.5270113
9,0.5449395,0.6330475,0.5871379
10,0.6019125,0.7001048,0.6507132
