step,time,car_x,car_y,walker_x,walker_y,walker_vx,walker_vy,actual_vx,actual_vy,predicted_vx,predicted_vy,vx_error,vy_error,vx_error_abs,vy_error_abs
0,0.0,0.0,12,30.0,7.7,0.0,0.0,0.04967141530112327,0.4308678494144077,-0.0006352324,0.531357,0.05030664772828073,-0.10048914092296413,0.05030664772828073,0.10048914092296413
1,0.1,0.762,12,30.004967141530113,7.743086784941441,0.04967141530112327,0.4308678494144077,0.08857225927215483,1.6917131753181471,0.023735067,0.9291592,0.06483719239633944,0.7625539512847914,0.06483719239633944,0.7625539512847914
2,0.2,1.524,12,30.013824367457328,7.912258102473255,0.08857225927215483,1.6917131753181471,0.0047824716318875665,1.3686753327645604,0.024392134,1.490089,-0.019609661946770537,-0.12141372611147716,0.019609661946770537,0.12141372611147716
3,0.30000000000000004,2.286,12,30.014302614620515,8.04912563574971,0.0047824716318875665,1.3686753327645604,0.1594438262304221,1.7665449011367607,-0.002317279,1.3626459,0.16176110534201607,0.4038990366500663,0.16176110534201607,0.4038990366500663
4,0.4,3.048,12,30.03024699724356,8.225780125863388,0.1594438262304221,1.7665449011367607,0.0038129982728305686,1.7806735398813978,0.045350682,1.5005137,-0.04153768371755449,0.28015986705272344,0.04153768371755449,0.28015986705272344
5,0.5,3.81,12,30.03062829707084,8.403847479851528,0.0038129982728305686,1.7806735398813978,-0.045127865534231766,1.2809216999428747,-0.0014105365,1.5052981,-0.043717329066202744,-0.22437643772192017,0.043717329066202744,0.22437643772192017
6,0.6000000000000001,4.572,12,30.026115510517418,8.531939649845816,-0.045127865534231766,1.2809216999428747,0.009829348090041639,0.3979672741017344,-0.019176582,1.3075087,0.029005929964531423,-0.9095414329447744,0.029005929964531423,0.9095414329447744
7,0.7000000000000001,5.334,12,30.027098445326423,8.57173637725599,0.009829348090041639,0.3979672741017344,-0.16762140714134902,0.6167989174733819,0.0043578204,0.8692471,-0.17197922751810282,-0.25244816142218696,0.17197922751810282,0.25244816142218696
8,0.8,6.096,12,30.010336304612288,8.633416269003328,-0.16762140714134902,0.6167989174733819,-0.16283036714527788,1.2625413249908166,-0.061872277,1.1029543,-0.1009580897364396,0.15958705653531124,0.1009580897364396,0.15958705653531124
9,0.9,6.8580000000000005,12,29.994053267897762,8.75967040150241,-0.16283036714527788,1.2625413249908166,-0.14264098146739013,0.642457792200071,-0.050250225,1.3348087,-0.09239075669827468,-0.6923509150371726,0.09239075669827468,0.6923509150371726
10,1.0,7.620000000000001,12,29.979789169751022,8.823916180722417,-0.14264098146739013,0.642457792200071,0.09779176995948942,1.0206794281862503,-0.050294567,1.1105112,0.14808633685902745,-0.08983175555245815,0.14808633685902745,0.08983175555245815
11,1.1,8.382000000000001,12,29.98956834674697,8.925984123541042,0.09779176995948942,1.0206794281862503,0.03788574723897048,0.5591240843110636,0.031159382,1.255016,0.006726364925480566,-0.6958918849653646,0.006726364925480566,0.6958918849653646
12,1.2000000000000002,9.144000000000002,12,29.99335692147087,8.981896531972149,0.03788574723897048,0.5591240843110636,-0.039366295777133783,1.1140646398692537,0.017389067,1.01787,-0.05675536229448684,0.09619469052843344,0.05675536229448684,0.09619469052843344
13,1.3,9.906000000000002,12,29.989420291893158,9.093302995959075,-0.039366295777133783,1.1140646398692537,-0.12763198676080723,1.4889589134008718,-0.0144572295,1.2748604,-0.11317475723595638,0.2140985313207937,0.11317475723595638,0.2140985313207937
14,1.4000000000000001,10.668000000000003,12,29.976657093217078,9.242198887299162,-0.12763198676080723,1.4889589134008718,-0.10069670619021831,1.2745041970287339,-0.037592135,1.3893906,-0.06310457082044063,-0.1148863907779678,0.06310457082044063,0.1148863907779678
15,1.5,11.430000000000003,12,29.966587422598057,9.369649307002035,-0.10069670619021831,1.2745041970287339,-0.09222838457409333,2.2781187241885954,-0.031015608,1.3208007,-0.06121277611438225,0.957318062147885,0.06121277611438225,0.957318062147885
