step,time,car_x,car_y,walker_x,walker_y,walker_vx,walker_vy,actual_vx,actual_vy,predicted_vx,predicted_vy,vx_error,vy_error,vx_error_abs,vy_error_abs
0,0.0,0.0,12,30.0,7.7,0.0,0.0,-0.10623037137261049,0.7367962153175908,-0.0017346236,0.54235804,-0.10449574780354665,0.19443817450795942,0.10449574780354665,0.19443817450795942
1,0.1,0.762,12,29.98937696286274,7.773679621531759,-0.10623037137261049,0.7367962153175908,-0.12576185805958248,1.9567768172602942,-0.0286174,1.2154553,-0.09714445738357044,0.7413215236048987,0.09714445738357044,0.7413215236048987
2,0.2,1.524,12,29.97680077705678,7.969357303257788,-0.12576185805958248,1.9567768172602942,-0.11836279576431111,1.4090679200428615,-0.039613936,1.5037644,-0.07874885966788128,-0.09469647090257305,0.07874885966788128,0.09469647090257305
3,0.30000000000000004,2.286,12,29.96496449748035,8.110264095262075,-0.11836279576431111,1.4090679200428615,0.04366981605418824,0.7802207903735835,-0.03667462,1.3654206,0.08034443477519654,-0.5851997895366948,0.08034443477519654,0.5851997895366948
4,0.4,3.048,12,29.969331479085767,8.188286174299433,0.04366981605418824,0.7802207903735835,0.03664868880578928,1.848980862721687,0.012774069,1.1784685,0.023874619943589498,0.6705123969166333,0.023874619943589498,0.6705123969166333
5,0.5,3.81,12,29.972996347966347,8.373184260571602,0.03664868880578928,1.848980862721687,-0.14908086979334217,1.6278681925121663,0.006375163,1.5370032,-0.15545603265558344,0.09086503298915605,0.15545603265558344,0.09086503298915605
6,0.6000000000000001,4.572,12,29.95808826098701,8.535971079822819,-0.14908086979334217,1.6278681925121663,-0.021473013107022074,1.8559699878579687,-0.044351965,1.4140717,0.022878952081958028,0.44189830874267333,0.022878952081958028,0.44189830874267333
7,0.7000000000000001,5.334,12,29.955940959676308,8.721568078608616,-0.021473013107022074,1.8559699878579687,-0.13053120611992386,0.8773299872619833,-0.0064539025,1.5147295,-0.12407730365928915,-0.6373995125549112,0.12407730365928915,0.6373995125549112
8,0.8,6.096,12,29.942887839064316,8.809301077334814,-0.13053120611992386,0.8773299872619833,0.010638323363376015,1.3744332981651453,-0.034076158,1.2479452,0.04471448132069146,0.12648810868913207,0.04471448132069146,0.12648810868913207
9,0.9,6.8580000000000005,12,29.943951671400654,8.946744407151328,0.010638323363376015,1.3744332981651453,0.028436095011749745,1.557328750178883,0.00036920168,1.3811419,0.02806689333552818,0.1761868491626477,0.02806689333552818,0.1761868491626477
10,1.0,7.620000000000001,12,29.946795280901828,9.102477282169216,0.028436095011749745,1.557328750178883,-0.05894957472134342,1.558347393080862,0.0054192906,1.4431258,-0.06436886534590235,0.11522154907909199,0.06436886534590235,0.11522154907909199
11,1.1,8.382000000000001,12,29.940900323429695,9.258312021477302,-0.05894957472134342,1.558347393080862,0.010540097573939006,1.0852536670872555,-0.020529654,1.4132226,0.031069751450958888,-0.32796888425856974,0.031069751450958888,0.32796888425856974
12,1.2000000000000002,9.144000000000002,12,29.941954333187088,9.366837388186028,0.010540097573939006,1.0852536670872555,0.1899329900539561,1.5286486138297608,0.0029129747,1.3011816,0.18702001537038823,0.22746705903544928,0.18702001537038823,0.22746705903544928
13,1.3,9.906000000000002,12,29.960947632192482,9.519702249569004,0.1899329900539561,1.5286486138297608,-0.058663401281599414,1.7610460376573107,0.04680167,1.4091994,-0.10546507266736449,0.35184668062453484,0.10546507266736449,0.35184668062453484
14,1.4000000000000001,10.668000000000003,12,29.95508129206432,9.695806853334735,-0.058663401281599414,1.7610460376573107,-0.11614420717639887,1.9001503340192256,-0.020423919,1.4813493,-0.09572028821392023,0.418800984997314,0.09572028821392023,0.418800984997314
15,1.5,11.430000000000003,12,29.943466871346683,9.885821886736657,-0.11614420717639887,1.9001503340192256,0.07888398981673668,1.1403846896480059,-0.035722,1.5002874,0.1146059884784932,-0.35990272394910106,0.1146059884784932,0.35990272394910106
16,1.6,12.192000000000004,12,29.951355270328357,9.999860355701458,0.07888398981673668,1.1403846896480059,0.12145126603107563,1.515132743025217,0.018982783,1.3078188,0.10246848307113758,0.20731397261658668,0.10246848307113758,0.20731397261658668
17,1.7000000000000002,12.954000000000004,12,29.963500396931465,10.15137363000398,0.12145126603107563,1.515132743025217,0.12087256423631346,2.376297726959905,0.030266875,1.4428473,0.0906056888351742,0.933450475067815,0.0906056888351742,0.933450475067815
18,1.8,13.716000000000005,12,29.975587653355095,10.38900340269997,0.12087256423631346,2.376297726959905,0.03571466783202772,1.5031179216095976,0.041825604,1.8476788,-0.0061109358616959555,-0.34456085894612754,0.0061109358616959555,0.34456085894612754
19,1.9000000000000001,14.478000000000005,12,29.9791591201383,10.53931519486093,0.03571466783202772,1.5031179216095976,-0.07750130846971097,1.0157309932233216,0.00944342,1.425505,-0.08694472845518413,-0.40977404885278923,0.08694472845518413,0.40977404885278923
20,2.0,15.240000000000006,12,29.971408989291326,10.640888294183261,-0.07750130846971097,1.0157309932233216,-0.03182911550756276,1.4386545988689379,-0.019822849,1.2632998,-0.012006266546805505,0.17535477606162586,0.012006266546805505,0.17535477606162586
21,2.1,16.002000000000006,12,29.96822607774057,10.784753754070154,-0.03182911550756276,1.4386545988689379,0.020961894056292323,1.8138829520376616,-0.011208704,1.3956435,0.03217059779772356,0.4182394793661528,0.03217059779772356,0.4182394793661528
22,2.2,16.764000000000006,12,29.9703222671462,10.96614204927392,0.020961894056292323,1.8138829520376616,0.025037708746047955,2.2282423411584045,0.0069110338,1.5236899,0.01812667498156641,0.7045524750924255,0.01812667498156641,0.7045524750924255
